1-butyn-4-yl	92.0410805159	72.0698640494	19.3949302849	23.2455328876	26.4074552826	29.0284487756	33.1235546551	36.2524624786	41.2596923538	0.0	0.0	0.0	M.K.Sabbe Thermo CBS-QB3
2-methyl-2-buten-1-yl	25.8299507479	80.4409412263	24.4625355992	31.0061841128	36.7166410675	41.6682843455	49.5947076622	55.3887421722	64.5633689936	0.0	0.0	0.0	M.K.Sabbe Thermo CBS-QB3
2-hexen-6-yl	37.9230744961	94.9727731327	31.2633834374	38.791435195	45.4017220664	51.1655512357	60.4533448041	67.28239177	78.1287828705	0.0	0.0	0.0	M.K.Sabbe Thermo CBS-QB3
isobutene	-3.95010391538	70.123594709	20.9810776989	26.1411063562	30.7205786944	34.7562817831	41.3595218316	46.3090964248	54.2612006548	0.0	0.0	0.0	M.K.Sabbe Thermo CBS-QB3
3-methyl-1,4-pentadiyn-3-yl	129.002774499	81.6430320325	26.0653046299	30.9428418511	34.8711210082	38.0635733657	42.9268045706	46.5683129008	52.2756983851	0.0	0.0	0.0	M.K.Sabbe Thermo CBS-QB3
cis-3-hexen-1-yne	56.484750143	84.8628286637	27.6776505756	34.3828173908	39.9630667327	44.6201768932	51.8430020201	57.1491558344	65.506332361	0.0	0.0	0.0	M.K.Sabbe Thermo CBS-QB3
3-methyl-1-pentyn-3-yl	63.0201994382	90.3431317381	29.2464765768	35.7431474794	41.4031731075	46.3132781315	54.2132659559	60.0674719462	69.3488166345	0.0	0.0	0.0	M.K.Sabbe Thermo CBS-QB3
nonane	-54.610100899	121.739233491	54.1249841396	65.9551509759	76.881952217	86.7706481299	103.173158827	115.198340352	134.383100608	0.0	0.0	0.0	M.K.Sabbe Thermo CBS-QB3
2,2,3,3-tetramethylbutane	-54.0625554667	94.947367741	44.2570759957	57.1183783842	68.1246938647	77.5219099366	92.37053202	103.223097301	120.154697219	0.0	0.0	0.0	M.K.Sabbe Thermo CBS-QB3
1-buten-3-yl	32.3265723305	72.0415988903	19.8732145464	24.9077971674	29.2964601991	33.0962419523	39.1613811316	43.5757862532	50.6085017524	0.0	0.0	0.0	M.K.Sabbe Thermo CBS-QB3
3,3-dimethyl-1-butyne	25.9327632096	80.5631140221	31.378107837	39.0674054313	45.4152310971	50.6819879002	58.8334279218	64.883032982	74.5337594105	0.0	0.0	0.0	M.K.Sabbe Thermo CBS-QB3
2-methyl-but-1-en-3-yn-1-yl	122.09601678	76.0635890249	22.7173676734	27.0560085295	30.5972370974	33.5118841952	38.0138549683	41.4049582561	46.7753007477	0.0	0.0	0.0	M.K.Sabbe Thermo CBS-QB3
