//Kinetics from:													
//An Ab Initio G3-Type/Statistical Theory Study of the Formation of Indene in Combustion													
//Flames. II. The Pathways Originating from Reactions of Cyclic C5 SpeciessCyclopentadiene													
//and Cyclopentadienyl Radicals													
//V. V. Kislov‡ and A. M. Mebel*													
//Department of Chemistry and Biochemistry, Florida International UniVersity, Miami, Florida 33199"													
//ReceiVed: September 17, 2007; In Final Form: October 29, 2007"													
//JJ. Phys. Chem. A 2008, 112, 700-716"													
													
//level of theory:Ab initio G3(MP2,CC)//B3LYP"													
													
Unit:													
A: mol/cm3/s													
E: kcal/mol													
													
//species names are the ones used in the paper and in the SI of the paper.													
//A43 replaced by A20, because diastereomers!"													
//A11 replaced by A11, because diastereomers!"													
//A21 replaced by A1, identical"													
//A22 replaced by A2, identical"													
//A23 replaced by A3, identical"													
//A26 replaced by A9, identical"													
//A27 replaced by A10, identical"													
//A28 replaced by A13, identical"													
//A29 replaced by A17, identical"													
//A30 replaced by A19, identical"													
//A34 replaced by A16, identical"													
//A44 replaced by A32, identical"													
	A20	=	A24	5.00E+12	0.521122213	68.89605186			0	0	0		
//	A24	=	A20	1.75E+13	0.724158929	65.17318254			0	0	0		
	A20	=	A31	5.12E+12	0.520969501	68.79460007			0	0	0		
//	A31	=	A20	1.70E+13	0.730646341	65.35800339			0	0	0		
//	A20	=	A38	1.22E+13	0.338152478	45.59555633			0	0	0		
//	A38	=	A20	2.75E+12	0.322572897	30.14912262			0	0	0		
	A20	=	A39	1.20E+13	0.321053566	45.70239209			0	0	0		
//	A39	=	A20	2.98E+12	0.316874203	30.55429529			0	0	0		
//	A1	=	A2	8.55E+12	0.551926619	51.1153591			0	0	0		
//	A2	=	A1	5.83E+12	0.625421101	35.24881529			0	0	0		
//	A2	=	A3	2.12E+13	0.481795621	25.27752673			0	0	0		
//	A3	=	A2	4.47E+11	0.108102201	24.16073863			0	0	0		
//	A2	=	A9	5.92E+12	0.229327666	16.51514576			0	0	0		
//	A9	=	A2	9.48E+12	0.110834195	8.776037769			0	0	0		
//	A3	=	A6	1.96E+12	0.099028703	7.252286319			0	0	0		
//	A6	=	A3	1.59E+13	0.319464279	14.25912113			0	0	0		
//	A3	=	A4	7.17E+12	0.537041034	32.8994419			0	0	0		
//	A4	=	A3	3.13E+13	0.703944149	57.08212441			0	0	0		
	A24	=	A2	7.87E+12	0.763322248	68.61701756			0	0	0		
//	A2	=	A24	6.64E+12	0.690668977	75.49579838			0	0	0		
//	A6	=	A7	1.64E+13	0.247286165	16.76744349			0	0	0		
//	A7	=	A6	2.60E+12	0.205883616	10.92813289			0	0	0		
//	A9	=	A10	1.96E+13	0.447398711	30.61009876			0	0	0		
//	A10	=	A9	1.16E+12	0.036618984	12.58586863			0	0	0		
//	A10	=	A13	7.41E+12	0.490892135	46.90659028			0	0	0		
//	A13	=	A10	1.05E+13	0.692242769	39.23097676			0	0	0		
//	A10	=	A17	1.81E+12	0.525202029	65.83167473			0	0	0		
//	A17	=	A10	4.70E+12	0.665927238	71.56769986			0	0	0		
//	A13	=	A17	1.99E+12	0.62762646	36.8677915			0	0	0		
//	A17	=	A13	3.68E+12	0.563897213	50.28332745			0	0	0		
//	A17	=	A18	6.83E+12	0.555305258	24.21054011			0	0	0		
//	A18	=	A17	5.07E+12	0.647499554	45.90646689			0	0	0		
//	A17	=	A19	9.50E+12	0.20714495	12.40365424			0	0	0		
//	A19	=	A17	4.24E+12	0.334372682	48.11778543			0	0	0		
//	A19	=	A5	5.90E+12	0.470768234	18.90124464			0	0	0		
//	A5	=	A19	4.31E+12	0.515165302	32.82629312			0	0	0		
	A31	=	A32	8.07E+12	0.763028264	65.43002838			0	0	0		
//	A32	=	A31	5.50E+12	0.65101596	78.24866089			0	0	0		
	A32	=	A33	1.75E+13	0.451816333	27.33720504			0	0	0		
//	A33	=	A32	7.38E+11	0.168135423	24.38969331			0	0	0		
	A33	=	A16	4.81E+12	0.547230259	32.21063328			0	0	0		
//	A16	=	A33	2.04E+13	0.709529117	57.97609916			0	0	0		
	A33	=	A35	2.47E+12	0.114068579	6.019570237			0	0	0		
//	A35	=	A33	1.74E+13	0.319987633	17.10364022			0	0	0		
//	A16	=	A12	2.29E+13	0.400742456	45.02059415			0	0	0		
//	A12	=	A16	1.47E+13	0.327606421	43.22856257			0	0	0		
//	A35	=	A36	1.74E+13	0.257280641	20.2976659			0	0	0		
//	A36	=	A35	1.83E+12	0.217563376	9.873696904			0	0	0		
	A36	=	A37	+	H	2.61E+12	0.930428905	32.82184214	0	0	0		
//	A37	+	H	=	A36	7.96E+11	1.505223142	5.90113301	0	0	0		
	A38	=	A40	1.46E+13	0.239027219	21.82069964			0	0	0		
//	A40	=	A38	5.33E+12	0.349093235	52.08905237			0	0	0		
	A39	=	A40	8.99E+12	0.244793401	20.55663484			0	0	0		
//	A40	=	A39	2.97E+12	0.346718949	50.62476548			0	0	0		
	A40	=	A41	+	H	6.89E+12	1.026468876	39.08609381	0	0	0		
//	A41	+	H	=	A40	8.40E+11	1.529069607	5.312367057	0	0	0		
	A40	=	A42	+	H	6.69E+12	1.03142007	40.52427217	0	0	0		
//	A42	+	H	=	A40	1.06E+12	1.487815567	2.858207559	0	0	0		
	A20	=	A2	5.45E+12	0.575085244	44.36135007			0	0	0		
//	A2	=	A20	6.15E+12	0.632572929	48.21799771			0	0	0		
	A20	=	A32	5.29E+12	0.524814823	43.55305554			0	0	0		
//	A32	=	A20	4.60E+12	0.56423571	53.74628853			0	0	0		
//	A20	=	A39	1.75E+13	0.385628006	46.92688464			0	0	0		
//	A39	=	A20	2.76E+12	0.298487218	31.27105452			0	0	0		
	A20	=	A38	1.92E+13	0.373909336	47.03624565			0	0	0		
//	A38	=	A20	3.06E+12	0.291833623	31.66296421			0	0	0		
//	A32	=	A33	2.21E+13	0.513702823	42.80144575			0	0	0		
//	A33	=	A32	4.78E+11	0.196744361	39.62775284			0	0	0		
	A32	=	A47	6.23E+12	0.204006569	14.91141333			0	0	0		
//	A47	=	A32	9.20E+12	0.07471322	1.595095226			0	0	0		
	A32	=	A48	9.48E+13	0.766518514	55.85063098			0	0	0		
//	A48	=	A32	5.39E+12	0.336367814	40.48405635			0	0	0		
	A33	=	A12	1.40E+12	0.528642422	31.26839245			0	0	0		
//	A12	=	A33	6.22E+12	0.661986606	54.71136925			0	0	0		
//	A33	=	A16	1.97E+12	0.519360821	27.93268387			0	0	0		
//	A16	=	A33	1.37E+13	0.722067014	53.17510968			0	0	0		
//	A33	=	A35	2.50E+12	0.093956658	13.00803247			0	0	0		
//	A35	=	A33	2.35E+13	0.339357022	19.83705676			0	0	0		
	A35	=	A36	1.22E+13	0.22974389	22.42563636			0	0	0		
//	A36	=	A35	1.56E+12	0.200196668	15.82348817			0	0	0		
	A47	=	A48	1.50E+13	0.368784777	22.44300218			0	0	0		
//	A48	=	A47	5.82E+11	0.064814754	20.3635974			0	0	0		
	A48	=	A18	7.85E+11	0.481458897	24.59606166			0	0	0		
//	A18	=	A48	2.90E+12	0.639652673	34.78720667			0	0	0		
	A48	=	A49	7.58E+12	0.492821452	46.40865096			0	0	0		
//	A49	=	A48	1.07E+13	0.689720596	39.24937172			0	0	0		
	A49	=	A18	2.62E+12	0.636722386	40.16537164			0	0	0		
//	A18	=	A49	6.25E+12	0.592774984	58.08837566			0	0	0		
//	A18	=	A5	9.57E+12	0.184062913	12.26462429			0	0	0		
//	A5	=	A18	4.61E+12	0.269129688	39.53948882			0	0	0		
//	A39	=	A40	1.02E+13	0.306376569	19.81655867			0	0	0		
//	A40	=	A39	3.55E+12	0.429550742	50.47272377			0	0	0		
//	A38	=	A40	1.30E+13	0.274045664	21.10061258			0	0	0		
//	A40	=	A38	4.50E+12	0.390090907	51.47579852			0	0	0		
	A37	+	H	=	A53	+	H2	1.38E+12	1.863212177	4.011463868	0	0	0
//	A53	+	H2	=	A37	+	H	26414906802	2.275759563	28.60558411	0	0	0
	A37	+	H	=	A54	+	H2	4.86E+12	1.593357796	1.364479241	0	0	0
//	A54	+	H2	=	A37	+	H	1.17E+11	1.887841169	33.66433665	0	0	0
	A41	+	H	=	A54	+	H2	1.03E+13	1.543742332	0.985385752	0	0	0
//	A54	+	H2	=	A41	+	H	2.62E+11	1.802912098	32.49747819	0	0	0
	A42	+	H	=	A54	+	H2	7.83E+12	1.551780633	0.531861963	0	0	0
//	A54	+	H2	=	A42	+	H	1.49E+11	1.868974932	35.91685198	0	0	0
	A53	=	AZ	+	H	1.67E+13	0.895866168	38.45707611			0	0	0
//	AZ	+	H	=	A53	4.02E+12	1.53848147	7.127123337			0	0	0
	A54	=	AZ	+	H	3.76E+13	0.735688804	43.92500215			0	0	0
//	AZ	+	H	=	A54	7.52E+12	1.479984843	4.808373251			0	0	0
	A8	+	H	=	A53	+	H2	1.41E+12	1.84150869	4.655694902	0	0	0
//	A53	+	H2	=	A8	+	H	26876149884	2.251173567	29.55517781	0	0	0
	A8	+	H	=	A54	+	H2	4.95E+12	1.588928459	1.876121301	0	0	0
//	A54	+	H2	=	A8	+	H	1.16E+11	1.889632618	34.4676044	0	0	0
	S0	+	H	=	A55	4.12E+12	1.52727134	3.267334405			0	0	0
//	A55	=	S0	+	H	2.02E+13	0.94195498	34.40715822			0	0	0
	A55	=	A0	7.57E+12	0.537072	35.75251808					0	0	0
//	A0	=	A55	8.97E+12	0.627009205	45.96993731					0	0	0
	CPD	+	CPDyl	=	A0	56299149.02	2.848834008	6.320970965			0	0	0
//	A0	=	CPD	+	CPDyl	3.10E+13	0.383520866	22.02158261			0	0	0
	CPD	+	CPDyl	=	A55	32216844.86	2.843162714	10.22919425			0	0	0
//	A55	=	CPD	+	CPDyl	1.48E+13	0.29372762	15.60493049			0	0	0
	A0	=	S2	+	H	1.44E+13	0.967523659	41.05213674			0	0	0
//	S2	+	H	=	A0	1.16E+12	1.467102587	1.055784526			0	0	0
	A0	=	A56	3.61E+13	0.533659653	43.50035174					0	0	0
//	A56	=	A0	1.11E+12	0.318976283	29.4166698					0	0	0
